Symbol,Weight
PHYS,0.14992431996135422
CEF,0.07890512076037724
TPL,0.07816819633424797
FNV,0.04246887165784746
SPOT,0.04015959761289235
EQT,0.032426628161022465
CPRT,0.03214338351744721
GLNG,0.031417447030077296
WPM,0.03089808379138382
BRO,0.02811154252200453
AMLP,0.02727450576495634
PCT,0.024371980697561194
AEM,0.024082631643564157
AGI,0.022596085617628124
TFPM,0.021975877518765216
RGLD,0.021368244505371253
NRP,0.020899547873179443
ADYEY,0.020748891023967504
AER,0.020657813220473012
ET,0.019888169154482483
CCJ,0.019042097870009985
KRP,0.018943206421175602
PPTA,0.018891929373631832
TDW,0.018744935170672945
AM,0.017981151338687468
BLDR,0.01794696664032495
UROY,0.015822631813510863
AMR,0.015629244091345786
VNOM,0.014295064149539797
SA,0.01198906206857073
NGD,0.011691166839983062
ILMN,0.011459199243951576
QXO,0.010434634998743465
NE,0.009779265495850467
VAL,0.009702960365576918
JOE,0.009159545749821349
